TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD
20170226120133,3589,80,83,27,36.54,30,25
20170226120134,3594,80,83,27,36.61,30,25
20170226120135,3591,80,83,27,36.54,30,25
20170226120136,3591,80,83,27,36.54,30,25
20170226120137,3594,80,83,27,35.56,30,25
20170226120138,3599,80,83,27,36.26,30,25
20170226120139,3599,80,83,27,36.26,30,25
20170226120140,3584,80,83,27,36.12,30,25
20170226120141,3588,80,83,27,36.26,30,25
20170226120142,3588,80,83,27,36.26,30,25
20170226120143,3587,80,83,27,36.47,30,25
20170226120144,3588,80,83,27,36.12,30,25
20170226120145,3588,80,84,27,36.12,30,25
20170226120146,3577,80,84,27,35.980000000000004,30,26
20170226120147,3572,80,84,27,37.45,30,26
20170226120149,3572,80,84,27,37.45,30,26
20170226120150,3569,80,84,27,37.45,30,26
20170226120151,3562,80,84,27,37.24,30,26
20170226120152,3562,80,84,27,37.24,30,26
20170226120153,3545,80,84,27,37.45,30,26
20170226120154,3544,80,84,27,35.910000000000004,30,25
20170226120155,3544,80,83,27,35.910000000000004,30,25
20170226120156,3540,80,84,27,35.56,30,25
20170226120157,3532,79,84,27,36.12,30,25
20170226120158,3532,79,84,27,36.12,30,26
20170226120159,3537,79,83,27,36.54,31,26
20170226120200,3541,79,83,27,37.1,31,26
20170226120201,3541,79,83,27,37.1,31,26
20170226120202,3541,79,84,27,38.15,31,26
20170226120203,3545,80,84,27,37.59,31,26
20170226120204,3545,79,83,27,37.59,31,27
20170226120205,3553,79,83,27,38.29,31,27
20170226120206,3561,80,83,27,48.58,31,28
20170226120207,3561,80,83,27,48.58,33,36
20170226120208,3582,80,83,27,54.81,35,36
20170226120209,3618,80,83,26,54.81,35,40
20170226120210,3618,81,83,26,59.08,36,40
20170226120211,3653,81,83,25,43.4,31,40
20170226120213,3644,81,83,25,43.4,31,25
20170226120214,3644,81,83,25,34.160000000000004,29,24
20170226120215,3630,81,83,26,34.79,29,24
20170226120216,3628,81,83,27,34.160000000000004,29,23
20170226120217,3628,81,83,27,34.160000000000004,29,24
20170226120218,3630,81,84,27,33.74,29,24
20170226120219,3626,81,84,27,34.160000000000004,29,23
20170226120220,3626,81,84,27,34.160000000000004,29,23
20170226120221,3643,81,84,27,34.160000000000004,29,23
20170226120222,3646,81,84,28,34.37,29,23
20170226120223,3646,81,84,28,34.37,29,24
20170226120224,3646,81,84,27,34.44,29,24
20170226120225,3631,81,84,27,34.44,29,24
20170226120226,3631,81,84,27,34.65,29,24
20170226120227,3620,81,84,27,35.42,29,24
20170226120228,3620,81,84,27,35.42,29,25
20170226120229,3598,81,84,27,38.01,30,27
20170226120230,3578,80,84,27,38.64,30,27
20170226120231,3578,80,84,27,38.64,30,27
20170226120232,3556,80,84,27,38.78,31,27
20170226120234,3523,80,84,27,37.45,31,27
20170226120235,3523,78,84,27,37.45,31,26
20170226120236,3494,78,84,27,41.65,32,30
20170226120237,3457,78,84,27,38.01,32,30
20170226120238,3457,76,84,26,38.01,30,18
20170226120239,3372,76,84,26,32.27,34,49
20170226120240,3400,76,84,27,85.47,34,49
